chr,gene,length
chr2,SCTR-AS1.csv,10893
chr14,TRP-TGG3-2.csv,72
chr4,OCIAD1.csv,30892
chr12,LOC105369726.csv,5786
chr5,PDE8B.csv,247953
chr1,EFCAB14-AS1.csv,18063
chr2,NCKAP5-AS2.csv,18564
chr15,LOC105370785.csv,22742
chr9,LOC107987061.csv,15903
chr6,KPNA5.csv,64225
chr23,CNGA2.csv,10819
chr5,LOC105378224.csv,18842
chr7,LOC105375248.csv,3295
chr2,LINC02579.csv,9171
chr10,BCCIP.csv,30150
chr5,ADRA1B.csv,72724
chr15,SH2D7.csv,14468
chr11,YAP1.csv,123468
chr8,DENND3.csv,67243
chr8,DDHD2.csv,42338
chr5,PCDHA6.csv,184388
chr16,MIR6771.csv,60
chr14,LOC107984634.csv,5304
chr16,MIR6768.csv,72
chr3,IL17RE.csv,14316
chr6,MIR587.csv,96
chr1,MIR556.csv,95
chr17,NME1-NME2.csv,18186
chr3,PPM1L.csv,323371
chr5,ARHGEF28.csv,315815
chr9,LOC105376050.csv,106953
chr6,MIR5689HG.csv,22453
chr6,NUS1.csv,35259
chr8,LOC112268026.csv,14995
chr24,LINC00106.csv,2388
chr23,EGFL6.csv,63975
chr1,LOC105371649.csv,21855
chr1,LINC00623.csv,43574
chr16,FLJ30679.csv,1980
chr4,LOC105377544.csv,28150
chr2,PRKCE.csv,536676
chr9,S1PR3.csv,14293
chr16,NDUFB10.csv,2438
chr10,FAS.csv,48631
chr17,MIR6080.csv,66
chr8,LOC107986942.csv,11613
chr7,ZNHIT1.csv,6027
chr2,LOC107985902.csv,189242
chr12,LOC105369818.csv,114988
chr22,IGLV5-45.csv,492
chr2,LOC105373714.csv,41835
chr18,LOC107985129.csv,5109
chr9,MIR455.csv,96
chr2,IAH1.csv,37872
chr6,LOC101927293.csv,217293
chr4,PDGFRA.csv,69119
chr16,LOC105371204.csv,18040
chr19,ZNF571-AS1.csv,38400
chr5,LRRC14B.csv,4840
chr18,MIR302F.csv,51
chr23,FOXO4.csv,7684
chr3,IL1RAP.csv,145666
chr1,RIMKLA.csv,45022
chr3,BPESC1.csv,20983
chr21,CBR1.csv,3141
chr16,MT1E.csv,1332
chr2,TRPM8.csv,102181
chr12,NTF3.csv,63192
chr1,FLJ39095.csv,5051
chr12,LAG3.csv,5973
chr11,LINC02754.csv,11795
chr15,CPLX3.csv,5176
chr19,GPI.csv,49084
chr2,MIR3606.csv,63
chr17,LOC105371737.csv,43693
chr5,PCDHGA1.csv,182462
chr12,METTL7A.csv,7494
chr8,LOC112268014.csv,18060
chr18,LOC105371953.csv,146622
chr1,LINC02800.csv,11451
chr2,LOC105373958.csv,4804
chr16,OSGIN1.csv,13093
chr5,EGR1.csv,3825
chr6,DST-AS1.csv,20353
chr9,LOC102724080.csv,39189
chr18,MAPRE2.csv,166444
chr7,AGAP3.csv,58569
chr3,LOC105374080.csv,11463
chr2,LINC01875.csv,863
chr15,OR4M2.csv,1084
chr19,ZNF528.csv,25657
chr1,NBPF8.csv,54650
chr17,LOC105371925.csv,3503
chr9,LOC105376206.csv,10208
chr22,DGCR8.csv,31632
chr11,MS4A13.csv,28043
chr9,LINC01613.csv,2773
chr14,LOC107984682.csv,5161
chr12,FZD10.csv,3277
chr21,UMODL1.csv,80120
chr23,GDPD2.csv,10361
chr1,LOC107985115.csv,45179
chr11,LGALS12.csv,10721
chr13,LINC02333.csv,7589
chr11,LINC02953.csv,3970
chr4,LOC105374550.csv,11010
chr11,AMPD3.csv,57192
chr16,CES3.csv,13884
chr5,LOC105374740.csv,24648
chr5,ATP6V0E1.csv,51675
chr6,LOC105374910.csv,102805
chr14,TRAF3.csv,134052
chr1,SELENON.csv,18029
chr10,GSTO2.csv,37325
chr19,DAZAP1.csv,28099
chr13,LOC107984615.csv,37066
chr16,RIPOR1.csv,28364
chr10,LOC105378400.csv,27173
chr22,PARVG.csv,38242
chr19,RPL36.csv,1581
chr16,ARL2BP.csv,8377
chr10,RASSF4.csv,36090
chr15,GANC.csv,80466
chr12,H2AJ.csv,3598
chr11,CD44.csv,93235
chr17,TOM1L1.csv,61161
chr3,LINC02029.csv,6707
chr19,ZNF524.csv,3367
chr13,MIR621.csv,96
chr3,LOC107986107.csv,47341
chr10,LOC107984195.csv,26753
chr15,MIR3174.csv,87
chr4,MIR4276.csv,70
chr5,PAIP2.csv,27868
chr3,LOC105376944.csv,41959
chr20,AP5S1.csv,8292
chr2,LOC105373932.csv,2079
chr1,TDRKH-AS1.csv,3654
chr4,NDNF-AS1.csv,9143
chr12,GATC.csv,17306
chr19,LOC105372484.csv,1443
chr5,LOC105374721.csv,4555
chr11,MIR7113.csv,59
chr12,C1S.csv,10315
chr6,LOC100422781.csv,8581
chr1,LOC107985396.csv,18979
chr1,LOC107985354.csv,4045
chr9,MAMDC4.csv,8454
chr16,SPIRE2.csv,42845
chr1,MYOPARR.csv,4546
chr15,PCSK6-AS1.csv,2995
chr12,CACNB3.csv,14510
chr24,FAM224A.csv,4295
chr11,GTF2H1.csv,44479
chr7,SRRM3.csv,85392
chr13,PRR20B.csv,3022
chr4,ANAPC4.csv,41236
chr1,TNFAIP8L2-SCNM1.csv,13648
chr10,LOC105378412.csv,12290
chr11,TMEM138.csv,15864
chr5,GRIA1.csv,323204
chr10,ADIRF.csv,2434
chr23,LOC107985703.csv,31957
chr1,PGD.csv,21448
chr6,ADGRG6.csv,144255
chr19,TNFAIP8L1.csv,16064
chr1,PTPRC.csv,118452
chr7,TAS2R40.csv,1043
chr4,MIR5091.csv,93
chr3,LOC105374301.csv,8274
chr9,ADAMTSL2.csv,43356
chr8,LOC105379301.csv,53837
chr1,LOC105371468.csv,35487
chr9,LRRC8A.csv,35910
chr2,WDR75.csv,34084
chr2,PNO1.csv,18351
chr8,TERF1.csv,39268
chr13,LOC105370276.csv,9137
chr1,LOC105378814.csv,34806
chr2,POTEJ.csv,47371
chr20,IFT52.csv,56363
chr7,LOC105375350.csv,2183
chr14,MIR409.csv,79
chr23,LOC105373190.csv,3963
chr11,USP35.csv,37370
chr5,LOC105377732.csv,139446
chr2,IGKV2D-30.csv,786
chr19,LOC105372283.csv,9629
chr2,HOXD8.csv,2991
chr3,LOC105377082.csv,1566
chr18,SMCHD1.csv,149292
chr2,PLEKHA3.csv,36010
chr19,ZNF492.csv,33348
chr2,RGPD1.csv,100400
chr3,LOC105377074.csv,4677
chr1,NHLH1.csv,5776
chr22,APOBEC3C.csv,6096
chr5,PCDHGB6.csv,104955
chr8,LOC107986936.csv,9828
chr15,LOC105370919.csv,17039
chr19,MIR518A2.csv,87
chr4,LOC105377369.csv,84794
chr3,LEKR1.csv,219777
chr10,LOC107984234.csv,9704
chr12,BTBD11.csv,342894
chr17,TRT-CGT4-1.csv,72
chr5,MTREX.csv,117591
chr11,LAYN.csv,21466
chr2,DNAH6.csv,360018
chr4,FLJ20021.csv,1107
chr11,COX8A.csv,1924
chr11,KIRREL3-AS3.csv,3149
chr7,DLD.csv,30092
chr9,LOC122513141.csv,1868
chr1,ARTN.csv,3440
chr9,MIR181A2.csv,110
chr17,WSCD1.csv,55312
chr3,MIR4787.csv,84
chr1,H3C15.csv,518
chr13,LINC01039.csv,8884
chr5,LOC107986482.csv,16174
chr10,PCAT5.csv,22619
chr7,TRBD2.csv,16
chr1,LOC105378823.csv,10760
chr6,SNORA116.csv,147
chr11,LOC105376556.csv,22425
chr1,VPS45.csv,78051
chr1,AMY2A.csv,8354
chr17,IFI35.csv,7676
chr2,STRADB.csv,29113
chr9,ACER2.csv,46247
chr3,LOC107986121.csv,24740
chr3,LOC101927296.csv,48453
chr23,TCEAL7.csv,2088
chr2,CHRNG.csv,8424
chr1,AGO4.csv,50261
chr1,ST3GAL3.csv,223700
chr2,TTC31.csv,11482
chr18,DLGAP1-AS3.csv,18890
chr19,C19orf71.csv,4857
chr3,CHST2.csv,4244
chr19,LOC102724908.csv,8542
chr14,EDDM3B.csv,2545
chr3,LINC01980.csv,62738
chr9,GNG10.csv,8622
chr4,LOC105377670.csv,4813
chr20,BPIFB2.csv,16000
chr19,APOE.csv,3598
chr3,SEMA3F.csv,34018
chr7,LOC105375301.csv,9144
chr7,TRBV10-2.csv,450
chr15,LOC102724393.csv,24715
chr14,INSM2.csv,2891
chr12,LOC105369969.csv,21189
chr11,APLP2.csv,74912
chr19,PVR.csv,22253
chr5,LINC02113.csv,43965
chr24,TTTY6B.csv,1848
chr5,HARS2.csv,7851
chr11,MIR3166.csv,92
chr12,MIR615.csv,96
chr14,TRAV26-1.csv,759
chr15,SNORD115-47.csv,33
chr6,SNRPC.csv,16353
chr13,LOC105370181.csv,7825
chr21,LINC00113.csv,28855
chr3,UBXN7-AS1.csv,1650
chr9,NAA35.csv,85214
chr11,HIKESHI.csv,43715
chr16,GNAO1.csv,165956
chr7,EPDR1.csv,31297
chr2,BOLA3-DT.csv,4409
chr1,SYCP1.csv,141103
chr15,SNORD115-28.csv,74
chr12,HSPB8.csv,15816
chr16,ITPRIPL2.csv,7666
chr23,FAM236A.csv,753
chr3,LOC105374036.csv,24300
chr16,SNN.csv,10700
chr15,GABRG3.csv,570804
chr1,LOC102723834.csv,25726
chr7,MOSPD3.csv,3216
chr20,BIRC7.csv,4591
chr13,PAN3.csv,160315
chr2,LOC107985842.csv,9811
chr10,IFIT5.csv,6430
chr19,MIR515-2.csv,83
chr23,MSL3.csv,17614
chr20,SNORD56.csv,71
chr19,FXYD7.csv,11048
chr1,CNIH4.csv,22574
chr2,SLC9A4.csv,60749
chr11,TRR-TCT3-2.csv,86
chr12,LRIG3-DT.csv,210541
chr7,SNHG26.csv,7197
chr1,SUCO.csv,79485
chr12,LOC105369945.csv,1656
chr20,RBM38.csv,17938
chr21,LOC107985486.csv,25764
chr5,MARCHF11-DT.csv,6821
chr9,LOC101927623.csv,29547
chr5,PCDHGA2.csv,174216
chr22,LOC100506472.csv,4969
chr2,LINC00486.csv,120704
chr23,MAGEB5.csv,2102
chr9,PRRC2B.csv,126543
chr14,LOC107984699.csv,2782
chr3,LINC01215.csv,13547
chr17,CARD14.csv,39340
chr10,ACSM6.csv,34692
chr2,LOC105373525.csv,2234
chr7,GNB2.csv,5430
chr16,PDPK1.csv,65177
chr11,LOC403312.csv,4313
chr10,ACTA2-AS1.csv,7291
chr17,SHISA6.csv,322851
chr7,TRC-GCA9-3.csv,72
chr23,ZFX.csv,67274
chr16,TRP-TGG3-5.csv,72
chr5,RUFY1.csv,59462
chr22,IGLC1.csv,320
chr10,LOC105378350.csv,20262
chr23,KDM6A.csv,239598
chr17,MIR2117.csv,80
chr21,USP25.csv,150118
chr1,LOC105376892.csv,10584
chr19,SULT2B1.csv,47256
chr12,TSFM.csv,20070
chr9,LOC101930026.csv,7639
chr9,LINC00475.csv,18142
chr20,FAM242B.csv,11757
chr1,LOC105376888.csv,8782
chr10,LOC105378526.csv,6627
chr3,ZNF385D-AS2.csv,22690
chr5,LOC105377675.csv,10790
chr7,LOC105375508.csv,127899
chr5,JMY.csv,91085
chr4,LINC01396.csv,6391
chr6,LOC105377991.csv,9552
chr23,ZCCHC13.csv,855
chr4,ANKRD37.csv,3403
chr21,BTG3-AS1.csv,2429
chr15,ANKRD34C.csv,15518
chr5,LOC107986399.csv,3440
chr22,UFD1-AS1.csv,7038
chr3,LOC105377099.csv,5536
chr11,OR2D3.csv,993
chr3,FBXW12.csv,22612
chr1,PROK1.csv,6210
chr5,MAST4.csv,573242
chr14,LOC107984691.csv,14119
chr21,CHODL.csv,448043
chr5,LOC105374704.csv,1544
chr16,VPS9D1-AS1.csv,6310
chr3,FOXP1-AS1.csv,16097
chr17,ABCC3.csv,57373
chr11,TSPAN32.csv,18725
chr15,LOC105370798.csv,2306
chr12,VEZT.csv,85054
chr22,LOC112268295.csv,3465
chr19,MIR516B2.csv,85
chr15,MORF4L1.csv,25250
chr10,EIF4EBP2.csv,24474
chr5,MIR12130.csv,92
chr16,UQCRC2.csv,30300
chr2,MIR5696.csv,85
chr1,LDLRAP1.csv,46813
chr1,INAVA.csv,24212
chr5,ZNF474.csv,24024
chr2,SCYGR8.csv,327
chr14,LOC105370460.csv,42302
chr6,PKIB.csv,254453
chr16,DNASE1.csv,53736
chr16,LINC02125.csv,23481
chr2,LIMS1.csv,153576
chr10,LOC105378571.csv,10208
chr9,LOC105379814.csv,35237
chr2,STON1.csv,68360
chr5,LINC02230.csv,860
chr1,CNIH3.csv,305915
chr16,SNORD111.csv,94
chr1,LOC107985745.csv,21251
chr5,UNC5A.csv,70340
chr12,TMTC2.csv,447963
chr2,VWC2L-IT1.csv,26709
chr15,LOC105370952.csv,3774
chr17,HSD17B1.csv,2292
chr9,LINC02851.csv,3427
chr5,NPM1.csv,23785
chr4,LOC105377459.csv,125977
chr9,GLIPR2.csv,27378
chr10,LOC107984170.csv,13711
chr10,LRRC27.csv,51446
chr22,POTEH.csv,31606
chr23,LOC105373342.csv,3357
chr9,RORB.csv,195843
chr2,MSH2-OT1.csv,1628
chr7,YKT6.csv,13317
chr13,LOC105370311.csv,16588
chr10,SCD.csv,17594
chr3,LOC105374111.csv,39839
chr2,DCAF17.csv,56864
chr10,LOC105376346.csv,18599
chr12,NCKAP1L.csv,50492
chr8,LOC107986865.csv,5351
chr12,LOC105369907.csv,5004
chr2,LOC101927454.csv,1311
chr4,TMEM33.csv,25684
chr14,SNORD56B.csv,71
chr14,GEMIN2.csv,22713
chr4,LOC105374481.csv,13732
chr12,AQP6.csv,4193
chr14,PTGDR.csv,9469
chr4,IBSP.csv,12882
chr5,LOC107986489.csv,57168
chr21,TRPM2.csv,92696
chr1,LINC01772.csv,7534
chr5,MIR146A.csv,99
chr2,MIR6810.csv,70
chr16,GPT2.csv,46928
chr7,TRBV4-2.csv,454
chr15,PSMA4.csv,12013
chr12,LOC107984472.csv,16431
chr17,MIR6786.csv,113
chr16,HBQ1.csv,721
chr13,LOC105370170.csv,10940
chr11,LINC02725.csv,89759
chr9,LOC105375994.csv,12390
chr1,H2AC20.csv,494
chr14,SERPINA3.csv,11663
chr1,LOC101928059.csv,11872
chr8,ZC2HC1A.csv,53717
chr11,CD3G.csv,10818
chr13,MIR4704.csv,75
chr2,ITPRID2.csv,39009
chr5,PRDM9.csv,20939
chr22,LOC100996598.csv,1315
chr3,LINC02053.csv,8329
chr8,LOC112268025.csv,5135
chr23,MIR12129.csv,76
chr8,IKBKB.csv,61734
chr2,NUP35.csv,44201
chr19,YJU2B.csv,31541
chr10,SAMD8.csv,82549
chr3,MOBP.csv,61818
chr15,LOC105370953.csv,16610
chr16,MVP.csv,27646
chr12,LOC105369705.csv,57991
chr4,SMARCA5.csv,43986
chr13,LOC105370173.csv,7878
chr3,PARP3.csv,6578
chr11,TBCEL-TECTA.csv,167389
chr1,PHF13.csv,10300
chr8,LOC105375657.csv,6309
chr5,LOC102724557.csv,5754
chr5,LOC105377733.csv,12258
chr22,MIR5571.csv,113
chr14,LINC02323.csv,10573
chr5,MIR145.csv,88
chr7,SPDYE14.csv,80225
chr12,FGD4.csv,246528
chr7,LOC116435278.csv,13928
chr17,DRG2.csv,20086
chr17,KRTAP9-7.csv,510
chr23,SNORA11C.csv,127
chr1,S100A7A.csv,6703
chr14,DIO2-AS1.csv,244049
chr2,EFHD1.csv,76720
chr10,ADD3.csv,139201
chr11,SCGB1C1.csv,6695
chr3,SH3BP5-AS1.csv,10315
chr18,LINC01909.csv,17021
chr16,CTRB1.csv,5937
chr16,ERCC4.csv,32212
chr1,SNORD45C.csv,78
chr17,SPNS3.csv,54265
chr1,AGL.csv,73947
chr8,LOC102724612.csv,9634
chr7,LOC105375505.csv,1636
chr12,LOC107984530.csv,22585
chr10,LIPF.csv,14374
chr3,LOC105374155.csv,23327
chr10,LOC105378274.csv,281
chr11,ZNRD2.csv,1412
chr18,LOC107985138.csv,4122
chr2,PPIG.csv,57064
chr16,COX4I1.csv,7374
chr1,EFCAB2.csv,155547
chr19,VN1R2.csv,1311
chr14,SNORD113-9.csv,71
chr6,LOC105374931.csv,12455
chr3,OR5H1.csv,7828
chr16,LOC102723373.csv,10767
chr4,LOC105377436.csv,60586
chr8,FAM90A14.csv,3011
chr19,MIR520A.csv,85
chr3,LARS2.csv,160844
chr7,LOC101927610.csv,5643
chr19,CLEC17A.csv,31259
chr14,ACTR10.csv,35488
chr4,LINC01094.csv,38508
chr3,RBM6.csv,137209
chr1,LOC112268227.csv,8232
chr7,ASIC3.csv,4465
chr2,CEBPZOS.csv,19701
chr23,DCAF8L2.csv,281002
chr12,LOC105369696.csv,1808
chr2,TMEM182.csv,106929
chr2,NEMP2-DT.csv,40211
chr10,LOC107984276.csv,1691
chr9,TESK1.csv,4772
chr10,LINC00836.csv,81224
chr9,LOC105376197.csv,63427
chr13,NRAD1.csv,8129
chr4,LINC02379.csv,8135
chr7,MIR490.csv,128
chr19,ZNF844.csv,16835
chr2,LINC01865.csv,20771
chr18,MIR1539.csv,50
chr22,LOC122455341.csv,10319
chr13,NHLRC3.csv,11799
chr6,LINC02880.csv,17256
chr14,LINC02325.csv,122568
chr23,TCEAL2.csv,2034
chr3,PARP15.csv,63122
chr7,PSMC2.csv,24991
chr23,SSR4.csv,4354
chr6,SLC35A1.csv,39363
chr11,PGA5.csv,10270
chr10,MGMT.csv,303743
chr20,PELATON.csv,12311
chr6,LNCDAT.csv,3076
chr5,LOC105379139.csv,13425
chr15,SNORD116-5.csv,97
chr1,LOC105378654.csv,71897
chr16,CMIP.csv,266955
chr23,F9.csv,32740
chr6,LOC105378008.csv,81586
chr9,PCSK5.csv,472330
chr14,TUNAR.csv,49180
chr1,POLR3GL.csv,19812
chr18,AQP4-AS1.csv,70639
chr9,PPP1R26.csv,11245
chr15,LINC01193.csv,52867
chr3,IL17RB.csv,19227
chr10,LOC105378476.csv,43739
chr1,GNG12-AS1.csv,370700
chr1,ZNF684.csv,16531
chr19,NRTN.csv,23258
chr20,RBPJL.csv,12842
chr14,LOC105370698.csv,9825
chr22,EMID1.csv,53702
chr6,CCR6.csv,27347
chr22,SMDT1.csv,4585
chr1,LOC107985211.csv,15895
chr2,MORN2.csv,6734
chr19,ADAT3.csv,8049
