chr,gene,length
chr5,GRK6.csv,16396
chr2,LOC105374846.csv,26964
chr21,LINC00319.csv,7302
chr4,LOC107986270.csv,1641
chr21,MIR6815.csv,61
chr1,LINC02772.csv,8609
chr19,LOC105372270.csv,12777
chr1,MGC27382.csv,139866
chr4,MSANTD1.csv,15016
chr20,REM1.csv,9623
chr5,FAM53C.csv,12173
chr6,LOC105377864.csv,100469
chr3,KCNMB2.csv,308036
chr2,CBWD2.csv,58514
chr6,MICA.csv,14605
chr1,QSOX1.csv,49162
chr1,PKN2.csv,152017
chr15,ISL2.csv,5703
chr6,FOXCUT.csv,1828
chr16,LOC105371105.csv,18064
chr2,LOC105373707.csv,3387
chr6,LOC101929142.csv,7554
chr1,LOC105378774.csv,13911
chr1,RGS2.csv,3237
chr16,GLIS2.csv,24835
chr19,RPL18A.csv,3410
chr6,LOC105374919.csv,21159
chr7,SNORD65C.csv,71
chr1,TTLL10.csv,24228
chr2,LOC107985852.csv,14037
chr1,LOC105378710.csv,563
chr6,SCUBE3.csv,39124
chr13,UCHL3.csv,56531
chr2,SLC11A1.csv,15129
chr3,LOC105377179.csv,30411
chr19,DOT1L.csv,68646
chr18,DLGAP1-AS4.csv,51591
chr2,LOC101927948.csv,39077
chr11,TRAPPC4.csv,5369
chr7,TRBV7-6.csv,497
chr9,LOC102723803.csv,182605
chr3,LOC105377097.csv,31064
chr1,PAPPA2.csv,382443
chr19,SNAR-G1.csv,128
chr6,ZFAND3.csv,334898
chr1,LOC107985219.csv,6608
chr3,ROPN1B.csv,14294
chr23,PRPS2.csv,32811
chr18,DLGAP1-AS5.csv,31399
chr17,C17orf78.csv,17377
chr5,MARVELD2.csv,29215
chr8,KBTBD11.csv,36226
chr1,MIR4632.csv,61
chr7,LOC105375133.csv,35953
chr23,KRBOX4.csv,27343
chr4,TLR3.csv,18918
chr22,ADORA2A.csv,18761
chr1,LOC105378723.csv,21759
chr22,LGALS1.csv,4167
chr18,LOC105371967.csv,3227
chr5,RETREG1-AS1.csv,14044
chr8,LOC107986942.csv,11613
chr15,CSK.csv,21118
chr4,PDGFRA.csv,69119
chr14,FCF1.csv,25503
chr23,RAB41.csv,4411
chr12,LOC105369958.csv,58222
chr10,PAOX.csv,12433
chr9,NAA35.csv,85214
chr3,RAD54L2.csv,129942
chr1,PPIAL4A.csv,760
chr4,LOC105377457.csv,24709
chr1,LINC01702.csv,11224
chr15,LOC105370753.csv,18488
chr14,SNORD169.csv,64
chr3,SLC35G2.csv,36767
