chr,gene,length
chr2,DNPEP-AS1.csv,15053
chr14,LOC105378183.csv,1256
chr13,MIR5007.csv,95
chr10,CNNM2.csv,171929
chr10,LOC105378401.csv,3610
chr7,INMT-MINDY4.csv,140253
chr23,PLXNB3.csv,15093
chr4,NOP14-AS1.csv,15533
chr14,LOC101927598.csv,59204
chr2,HK2.csv,59234
chr14,MIR770.csv,98
chr2,REG1A.csv,2922
chr3,LINC01968.csv,73748
chr8,LOC107986932.csv,2015
chr19,NUCB1.csv,23061
chr11,CALCB.csv,5045
chr1,LOC105372932.csv,166214
chr12,COPZ1.csv,26742
chr2,LOC107985902.csv,189242
chr15,CCNDBP1.csv,12060
chr7,LOC100506178.csv,10662
chr19,RNU6-9.csv,107
chr8,TRY-GTA5-1.csv,93
chr10,LOC105376433.csv,864
chr2,LOC101927089.csv,12542
chr22,IGLL5.csv,8296
chr13,LINC00459.csv,5191
chr23,MIR12129.csv,76
chr10,ACSM6.csv,34692
chr9,GDA.csv,141451
chr3,LINC02082.csv,20052
chr11,SNORA23.csv,189
chr2,APLF.csv,112578
chr13,KLF5.csv,22563
chr18,SLC14A1.csv,28394
chr5,IL31RA.csv,82521
chr19,MRPS12.csv,2225
chr22,TFIP11-DT.csv,2037
chr22,CACNA1I.csv,118985
chr1,MTFR1L.csv,12985
chr11,STX5-DT.csv,1810
chr2,FAM166C.csv,18602
chr14,LOC105370647.csv,21819
chr19,WDR18.csv,11630
chr7,LOC107986846.csv,696
chr6,SLC25A27.csv,25246
chr6,HLA-DQB1-AS1.csv,850
chr10,LOC105378375.csv,14079
chr17,SPAG5-AS1.csv,18245
chr9,PRRX2.csv,57028
chr23,ATP6AP2.csv,25879
chr16,LOC101928556.csv,35922
chr7,TRBV11-3.csv,438
chr19,MIR6805.csv,62
chr10,LOC107984252.csv,15400
chr15,MINDY2.csv,90643
chr2,LOC105373430.csv,34056
chr15,LINC01169.csv,103609
chr8,PSCA.csv,12429
chr11,LOC105369580.csv,24320
chr22,IGLV2-11.csv,471
chr3,DIPK2A.csv,20571
chr19,ARHGEF1.csv,46958
chr1,POLR3C.csv,21220
chr12,LINC00592.csv,12951
chr16,DNAAF8.csv,15053
chr3,IFT122.csv,80433
chr5,STARD4-AS1.csv,227501
chr6,SLC39A7.csv,3571
chr1,LOC107985193.csv,12178
chr2,SPR.csv,4751
chr20,CRLS1.csv,34116
chr21,SOD1.csv,9239
chr6,HSPA1B.csv,2517
chr4,USO1.csv,89765
chr20,MRGBP.csv,5257
chr11,ANKRD49.csv,5595
chr7,LOC105375446.csv,11491
chr4,LIAS.csv,20451
chr1,TDRD10.csv,45929
chr6,LINC01011.csv,3205
chr5,LOC107986383.csv,13296
chr17,SNX11.csv,16069
chr9,WDR38.csv,4425
chr19,IZUMO4.csv,2922
chr6,RBM24.csv,12515
chr21,LOC107987293.csv,4477
chr5,PCDHGA7.csv,130234
chr19,ZNF181.csv,12290
chr9,TYRP1.csv,16911
chr20,LOC105372573.csv,7663
chr8,MIR4471.csv,83
chr11,LOC105369416.csv,15207
chr12,LINC02399.csv,2034
chr17,SNORD42A.csv,62
chr9,LOC105376016.csv,28540
chr19,NRTN.csv,23258
chr9,B3GALT9.csv,8321
chr15,GLCE.csv,111655
chr24,IL3RA.csv,46116
chr3,LOC105377000.csv,18765
chr1,ERLNC1.csv,1602
chr11,FDX1.csv,34937
chr2,NMS.csv,12799
chr14,PLD4.csv,13489
chr4,LINC02358.csv,14031
chr18,SERPINB7.csv,52314
chr11,FAM111B.csv,20176
chr16,LOC105376778.csv,10752
chr5,LOC105379151.csv,22236
chr10,WASHC2A.csv,65609
chr11,P2RY6.csv,34123
chr2,ATP6V1B1.csv,29532
chr18,APCDD1.csv,35315
chr20,LOC100134868.csv,13474
chr12,DENND5B-AS1.csv,25429
chr14,ATL1.csv,99987
chr4,LOC105377459.csv,125977
chr1,LOC107984909.csv,3575
chr5,MAP3K1.csv,80610
chr7,LOC101928012.csv,85692
chr19,FSD1.csv,19239
chr1,FPGT.csv,10461
chr9,LOC107987072.csv,15338
chr9,LOC105376058.csv,9284
chr21,LOC107985511.csv,79588
chr19,ZNF571-AS1.csv,38400
chr12,MIR3922.csv,84
chr1,CAMK1G.csv,30226
chr1,LINC01758.csv,2155
chr21,LOC102724800.csv,8898
chr6,LOC107986633.csv,39734
chr3,MIR4271.csv,67
chr3,MKRN2.csv,26627
chr1,LENEP.csv,736
chr3,LINC01997.csv,3036
chr19,ZBTB32.csv,12568
chr3,SGO1-AS1.csv,11830
chr2,CBWD2.csv,58514
chr1,LYPLAL1.csv,271272
chr4,APELA.csv,22041
chr12,TMEM117.csv,593996
chr8,LOC105379332.csv,2996
chr5,CPEB4.csv,73653
chr1,EPB41.csv,232942
chr4,LOC105374550.csv,11010
chr12,LOC122455340.csv,823
chr22,SFI1.csv,122450
chr16,ZG16.csv,22170
chr6,LOC105377996.csv,23989
chr7,TRC-GCA22-1.csv,72
chr1,RNF11.csv,37175
chr14,LOC105370475.csv,19929
chr7,TRBV17.csv,733
chr2,LOC105373419.csv,807
chr14,SAMD4A.csv,226219
chr6,MAPK13.csv,14009
chr18,DYNAP.csv,66832
chr15,EMC4.csv,5141
chr20,SCP2D1.csv,596
chr7,LOC107986761.csv,16445
chr16,MIR484.csv,79
chr12,PIK3C2G.csv,473916
chr4,RBPJ.csv,271674
chr12,APOLD1.csv,65550
chr10,ANKRD2.csv,11444
chr14,LOC107984681.csv,7871
chr14,FBXO34.csv,82191
chr12,MIRLET7I.csv,84
chr3,RHO.csv,6706
chr6,LINC02529.csv,12913
chr18,SMAD4.csv,54830
chr15,SNORD115-15.csv,81
chr10,LINC02649.csv,9439
chr11,LOC105369149.csv,4403
chr1,LOC107985375.csv,4087
chr14,TNFAIP2.csv,16265
chr14,AJUBA-DT.csv,23941
chr23,LOC105373151.csv,67568
chr3,GTPBP8.csv,10986
chr2,MAP4K4.csv,196984
chr5,SMIM3.csv,17978
chr20,CASS4.csv,48833
chr12,KDM2B-DT.csv,15010
chr16,HSF4.csv,6181
chr19,ZNRF4.csv,1440
chr12,PXMP2.csv,17399
chr7,LINC00997.csv,4639
chr13,LINC00377.csv,26052
chr1,LOC105378770.csv,25505
chr23,LOC107985707.csv,63493
chr3,KLHL24.csv,48901
chr22,IGLV1-47.csv,468
chr2,SNORD92.csv,89
chr9,GALT.csv,4361
chr6,LOC105377947.csv,9953
chr2,MAT2A.csv,6114
chr11,LMNTD2-AS1.csv,846
chr1,RNVU1-4.csv,164
chr23,LINC01546.csv,12834
chr4,AFM.csv,22257
chr8,LETM2.csv,27023
chr2,LINC01291.csv,29288
chr3,PIK3CA.csv,91980
chr1,FCRLB.csv,6600
chr8,LINC02878.csv,1299
chr8,MTBP.csv,78236
chr12,NCAPD2.csv,37854
chr9,MIR4292.csv,67
chr4,RBM46.csv,47565
chr12,RIMKLB.csv,101496
chr12,METAP2.csv,41688
chr5,CTB-1I21.1.csv,1805
chr3,UBA5.csv,25365
chr22,IGLV3-21.csv,781
chr15,UBE2Q2.csv,57736
chr14,SNORD114-11.csv,74
chr17,MRPL58.csv,8592
chr19,LOC102725254.csv,834
chr7,LOC100286906.csv,19707
chr2,LOC105375809.csv,3219
chr2,LOC105373715.csv,11828
chr7,LOC105375450.csv,21418
chr10,FBH1.csv,48022
chr11,OR4C3.csv,1036
chr10,LOC105378269.csv,14480
chr14,FAM71D.csv,40194
chr11,NAA40.csv,18350
chr6,MIR3692.csv,69
chr19,MBD3L1.csv,10943
chr8,LOC105377790.csv,9932
chr8,MIR1206.csv,59
chr1,ZBTB48.csv,9287
chr8,LINC01591.csv,65589
chr20,SSTR4.csv,3926
chr9,LOC112268044.csv,10817
chr18,DSCAS.csv,61202
chr6,FARS2.csv,510577
chr19,RUVBL2.csv,22548
chr5,EGR1.csv,3825
chr13,LOC107984594.csv,2610
chr11,LOC105369526.csv,45654
chr7,SLC29A4.csv,32602
chr19,ZNF587B.csv,15940
chr23,ERVFC1.csv,7633
chr9,TMEM38B.csv,82089
chr20,LINC01742.csv,745
chr5,SPDL1.csv,21118
chr14,GPHN.csv,673872
chr3,P3H2-AS1.csv,23883
chr9,TRIM32.csv,13995
chr1,FMO3.csv,26947
chr11,LINC02547.csv,30911
chr17,TMEM94.csv,59294
chr1,NFYC.csv,79905
chr6,ERMARD.csv,29979
chr5,TRIM52-AS1.csv,11096
chr10,IFIT3.csv,12972
chr1,TGFB2.csv,99284
chr6,LOC105374911.csv,24237
chr14,PALS1.csv,94667
chr5,ARHGAP26.csv,458642
chr14,ZC3H14.csv,64615
chr12,OR6C76.csv,939
chr6,LOC101929297.csv,19979
chr7,SPDYE3.csv,15399
chr1,NOTCH2NLR.csv,70907
chr19,MIR518E.csv,88
chr4,FAM193A.csv,197199
chr12,PCED1B.csv,157040
chr16,MIR6863.csv,90
chr1,ROR1.csv,407482
chr1,KDM4A.csv,55370
chr23,GAGE12F.csv,7364
chr17,FNDC8.csv,9118
chr2,ARPC2.csv,37211
chr12,FLJ13224.csv,1630
chr16,TNRC6A.csv,216019
chr23,SNORA56.csv,129
chr5,SDHA.csv,46508
chr2,SOCS5.csv,64193
chr7,ZFAND2A-DT.csv,5585
chr15,ST20-AS1.csv,2084
chr8,LOC101928037.csv,8155
chr21,LINC01684.csv,119203
chr11,ARHGEF12.csv,153662
chr3,STXBP5L.csv,516557
chr11,NRXN2-AS1.csv,4421
chr17,ARHGAP23.csv,93104
chr23,LOC105373177.csv,34295
chr3,ESYT3.csv,47110
chr2,LOC105373932.csv,2079
chr20,LOC105372663.csv,30820
chr7,SPDYE1.csv,13144
chr11,LOC105369515.csv,13189
chr14,SLC39A9.csv,64017
chr5,STK32A.csv,167034
chr7,WIPI2.csv,43623
chr11,TIGD3.csv,2863
chr17,ELP5.csv,8217
chr13,LOC107984596.csv,11577
chr1,LOC105373218.csv,19659
chr12,USP30.csv,64938
chr14,TRAJ22.csv,63
chr1,LOC105376687.csv,930
chr13,NDFIP2.csv,74923
chr17,MIR744.csv,98
chr23,SPANXB1.csv,1113
chr2,IGKV2D-30.csv,786
chr21,KCNJ15.csv,77432
chr2,STON1-GTF2A1L.csv,246595
chr16,LOC107984826.csv,2665
chr6,LOC107986543.csv,20173
chr7,MIR1183.csv,89
chr14,SLIRP.csv,9528
chr4,LOC107986314.csv,17237
chr4,LOC105377345.csv,14811
chr12,AMDHD1.csv,25390
chr23,HMGB3.csv,10267
chr1,RNPEP.csv,23496
chr7,ZNF107.csv,46573
chr9,LOC100506532.csv,58997
chr15,SNORD115-27.csv,76
chr2,AMER3.csv,13660
chr3,SKIL.csv,39172
chr11,MS4A14.csv,21298
chr3,DUBR.csv,86273
chr1,NOTCH2NLC.csv,81213
chr9,PHF2.csv,103004
chr6,MIR548AI.csv,88
chr11,NAT10.csv,41280
chr17,RNF167.csv,5131
chr20,SNORD12.csv,90
chr6,FAM135A.csv,147741
chr9,OR13F1.csv,960
chr16,MT1H.csv,1316
chr11,LINC02722.csv,3703
chr7,AHR.csv,47496
chr7,LOC101928357.csv,42181
chr11,MYEOV.csv,3133
chr8,WDR97.csv,10590
chr22,TNRC6B.csv,290975
chr11,GRIK4.csv,477159
chr13,LINC00547.csv,16597
chr2,ZC3H15.csv,23109
chr9,OR1J4.csv,942
chr2,EPAS1.csv,89291
chr10,SUV39H2.csv,25450
chr7,GTF2I.csv,102975
chr1,PRAMEF9.csv,7612
chr8,PCMTD1-DT.csv,50562
chr1,LINC01641.csv,16524
chr23,LOC102724521.csv,40492
chr23,LOC102724491.csv,6390
chr17,MED9.csv,16222
chr13,EXOSC8.csv,9242
chr19,ZNF324B.csv,6223
chr5,PCDHB2.csv,4089
chr9,LOC107987111.csv,19743
chr17,CLTC.csv,77062
chr12,CD27.csv,6852
chr2,EMX1.csv,25743
chr10,LOC112268061.csv,16216
chr22,RIBC2.csv,18817
chr17,MIR6080.csv,66
chr1,LOC105371608.csv,4559
chr16,LOC105371310.csv,134908
chr21,LOC102723553.csv,27303
chr11,PRSS23.csv,161840
chr3,LOC105374303.csv,1274
chr16,BAIAP3.csv,15795
chr3,MECOM-AS1.csv,29186
chr1,ENO1-AS1.csv,1051
chr6,MYCT1.csv,49280
chr1,LOC112268220.csv,4100
chr7,ORAI2.csv,23251
chr10,LOC105378464.csv,57798
chr13,LOC105370218.csv,15766
chr6,RIPPLY2.csv,4156
chr10,BAG3.csv,26440
chr12,PRPH.csv,3555
chr5,CLMAT3.csv,10966
chr14,LOC105370504.csv,416433
chr3,LOC105374111.csv,39839
chr12,PTPN6.csv,14740
chr14,LOC105370399.csv,2509
chr1,COA6.csv,11625
chr11,REXO2.csv,10813
chr3,CCR5.csv,6065
chr1,CAP1.csv,32409
chr12,LOC107984129.csv,13754
chr23,SH3BGRL.csv,96564
chr10,NUTM2B.csv,9532
chr2,POLE4.csv,11486
chr7,MIR6840.csv,71
chr5,B4GALT7.csv,10229
chr2,MIR4773-1.csv,78
chr1,LINC01698.csv,7636
chr18,IMPACT.csv,26862
chr22,CRELD2.csv,8907
chr2,LOC105374831.csv,12161
chr8,ADGRB1.csv,95361
chr12,P2RX7.csv,55214
chr4,TRIM2.csv,187155
chr14,LOC102723342.csv,4363
chr6,LOC105377961.csv,14029
chr11,LOC102723575.csv,23215
chr12,LARP4.csv,79143
chr11,ACAD8.csv,12321
chr6,PKIB.csv,254453
chr14,TRAV1-1.csv,664
chr23,IL13RA1.csv,67580
chr15,SNORD115-4.csv,82
chr15,INO80-AS1.csv,11092
chr6,DUSP22.csv,58897
chr20,UBOX5-AS1.csv,43957
chr1,CD2.csv,14800
chr4,BST1.csv,72313
chr17,MIR4521.csv,60
chr16,C16orf86.csv,3710
chr4,CWH43.csv,75833
chr21,BACH1-IT3.csv,4340
chr19,OR10H3.csv,4359
chr2,LOC105373591.csv,9047
chr6,L3MBTL3.csv,122860
chr19,ANKLE1.csv,5746
chr9,COL15A1.csv,127396
chr5,MIR1294.csv,142
chr16,LINC00311.csv,5125
chr12,EID3.csv,1467
chr5,SYNPO.csv,73189
chr8,MIR548AA1.csv,97
chr6,HLA-A.csv,3339
chr1,LINC01221.csv,60603
chr14,FAM177A1.csv,38477
chr10,LOC107984210.csv,5191
chr3,MIR4789.csv,82
chr16,LOC105371316.csv,11618
chr3,GNL3.csv,8578
chr14,SNORD114-2.csv,77
chr5,TTC23L.csv,86519
chr23,CXorf51B.csv,641
chr16,SETD6.csv,8364
chr8,PKIA.csv,88928
chr11,CHEK1.csv,51346
chr16,JPT2.csv,23808
chr13,SACS-AS1.csv,9899
chr22,CRYBA4.csv,22691
chr2,LOC107985904.csv,10000
chr18,LOC101927188.csv,2743
chr2,TWIST2.csv,62450
chr17,ALOX12.csv,16964
chr2,LOC105373545.csv,7071
chr9,STX17.csv,67888
chr13,PDX1.csv,6332
chr16,YPEL3-DT.csv,9027
chr8,LOC105379340.csv,39759
chr8,LOC107986946.csv,6523
chr2,GPR148.csv,1267
chr19,NDUFA3.csv,5231
chr3,PLS1.csv,117272
chr9,KCNV2.csv,12528
chr11,LARGE2.csv,7476
chr2,LOC112268411.csv,4186
